sku,make,year,model
0001-5450-T,Ford,1997,Mustang
0001-5450-T,Ford,1997,Roush Performance Parts
0001-5450-T,Ford,1998,F-150
0001-5450-T,Ford,1998,Mustang
0001-5450-T,Ford,1998,Roush Performance Parts
0001-5450-T,Ford,1999,F-150
0001-5450-T,Ford,1999,Mustang
0001-5450-T,Ford,1999,Roush Performance Parts
0001-5450-T,Ford,2000,F-150
0001-5450-T,Ford,2000,Mustang
0001-5450-T,Ford,2000,Roush Performance Parts
0001-5450-T,Ford,2001,F-150
0001-5450-T,Ford,2001,Mustang
0001-5450-T,Ford,2001,Roush Performance Parts
0001-5450-T,Ford,2002,F-150
0001-5450-T,Ford,2002,Mustang
0001-5450-T,Ford,2002,Roush Performance Parts
0001-5450-T,Ford,2003,F-150
0001-5450-T,Ford,2003,Mustang
0001-5450-T,Ford,2003,Roush Performance Parts
0001-5450-T,Ford,2004,F-150
0001-5450-T,Ford,2004,Mustang
0001-5450-T,Ford,2004,Roush Performance Parts
0001-5450-T,Ford,2005,F-150
0001-5450-T,Ford,2005,Mustang
0001-5450-T,Ford,2005,Roush Performance Parts
0001-5450-T,Ford,2006,F-150
0001-5450-T,Ford,2006,Mustang
0001-5450-T,Ford,2006,Roush Performance Parts
0001-5450-T,Ford,2007,F-150
0001-5450-T,Ford,2007,Mustang
0001-5450-T,Ford,2007,Roush Performance Parts
0001-5450-T,Ford,2008,F-150
0001-5450-T,Ford,2008,Mustang
0001-5450-T,Ford,2008,Roush Performance Parts
0001-5450-T,Ford,2009,F-150
0001-5450-T,Ford,2009,Mustang
0001-5450-T,Ford,2009,Roush Performance Parts
0001-5450-T,Ford,2010,F-150
0001-5450-T,Ford,2010,Mustang
0001-5450-T,Ford,2010,Roush Performance Parts
0001-5450-T,Ford,2011,F-150
0001-5450-T,Ford,2011,Mustang
0001-5450-T,Ford,2011,Roush Performance Parts
0001-5450-T,Ford,2012,F-150
0001-5450-T,Ford,2012,Mustang
0001-5450-T,Ford,2012,Roush Performance Parts
0001-5450-T,Ford,2013,F-150
0001-5450-T,Ford,2013,Mustang
0001-5450-T,Ford,2013,Roush Performance Parts
0001-5450-T,Ford,2014,F-150
0001-5450-T,Ford,2014,Mustang
0001-5450-T,Ford,2014,Roush Performance Parts
0001-5450-T,Ford,2015,F-150
0001-5450-T,Ford,2015,Mustang
0001-5450-T,Ford,2015,Roush Performance Parts
0001-5450-T,Ford,2016,F-150
0001-5450-T,Ford,2016,Mustang
0001-5450-T,Ford,2016,Roush Performance Parts
0001-5450-T,Ford,2017,F-150
0001-5450-T,Ford,2017,Mustang
0001-5450-T,Ford,2017,Roush Performance Parts
0001-5450-T,Ford,2018,F-150
0001-5450-T,Ford,2018,Mustang
0001-5450-T,Ford,2018,Roush Performance Parts
0001-5450-T,Ford,2019,F-150
0001-5450-T,Ford,2019,Mustang
0001-5450-T,Ford,2019,Roush Performance Parts
1112-F150RKIT-AA,Ford,2011,F-150
1112-F150RKIT-AA,Ford,2011,Roush Performance Parts
1112-F150RKIT-AA,Ford,2012,F-150
1112-F150RKIT-AA,Ford,2012,Roush Performance Parts
1112-F150RKIT-AA,Ford,2013,F-150
1112-F150RKIT-AA,Ford,2013,Roush Performance Parts
1112-F150RKIT-AA,Ford,2014,F-150
1112-F150RKIT-AA,Ford,2014,Roush Performance Parts
1113-F150RKIT-AA,Ford,2011,F-150
1113-F150RKIT-AA,Ford,2011,Roush Performance Parts
1113-F150RKIT-AA,Ford,2012,F-150
1113-F150RKIT-AA,Ford,2012,Roush Performance Parts
1113-F150RKIT-AA,Ford,2013,F-150
1113-F150RKIT-AA,Ford,2013,Roush Performance Parts
1113-F150RKIT-AA,Ford,2014,F-150
1113-F150RKIT-AA,Ford,2014,Roush Performance Parts
1150-F150RKIT-AA,Ford,2011,F-150
1150-F150RKIT-AA,Ford,2011,Roush Performance Parts
1150-F150RKIT-AA,Ford,2012,F-150
1150-F150RKIT-AA,Ford,2012,Roush Performance Parts
1150-F150RKIT-AA,Ford,2013,F-150
1150-F150RKIT-AA,Ford,2013,Roush Performance Parts
1150-F150RKIT-AA,Ford,2014,F-150
1150-F150RKIT-AA,Ford,2014,Roush Performance Parts
13108D080-BA,Ford,2010,Mustang
13108D080-BA,Ford,2010,Roush Performance Parts
13108D080-BA,Ford,2011,Mustang
13108D080-BA,Ford,2011,Roush Performance Parts
13108D080-BA,Ford,2012,Mustang
13108D080-BA,Ford,2012,Roush Performance Parts
13108D080-BA,Ford,2013,Mustang
